DATE,RATING,REVIEW_TITLE,DESCRIPTION1,DESCRIPTION2,LINK
2020-10-27 0:00:00,5,Needed for soup,These are 2 packages of dry Pinto Beans for soup,These are 2 packages of dry Pinto Beans for soup.,https://www.amazon.com/gp/customer-reviews/R105LHZMBHKBRI?ASIN=B00TQ3U8OU
2020-04-18 0:00:00,4,Convenient,"I gave it a four star because I used to buy this package with the 18 counts, this time round don’t know what happened. The company has changed it to 12 bottles.... overall, it’s awesome for my kid who drinks it on the morning everyday. One thing I would ask the company to change is the plastic straw, it always falls inside the milk when my kid drink.",Convenient.,https://www.amazon.com/gp/customer-reviews/R3HB4QKAWBAU0V?ASIN=B000LKZ3GA
2020-08-05 0:00:00,5,Definitely Recommend,I don't usually write reviews about supplements. This one really help my inflammation. The taste was not. horrible. The pills were easy to swallow.,Definitely Recommend.,https://www.amazon.com/gp/customer-reviews/R2QKYJLGJ4LF9C?ASIN=B083JM99Q8
2020-12-04 0:00:00,5,"Yummy, Sturdy Rice Crackers","Because I don't eat a gluten-free diet, I'm always a little leery of gluten-free products because so many are bland or have a weird texture. Not these Back to Nature crackers. These rice crackers are thin, crunchy, and full of flavor. They have just enough cheddar cheese powder on top to give them flavor but not so much that they are messy. I love that they are sturdy enough to either dip into something thick like hummus or serve as a reliable base for toppings. But they are delicious and highly addictive on their own.. -- Debbie Lee Wesselmann",They have just enough cheddar cheese powder on top to give them flavor but not so much that they are messy.,https://www.amazon.com/gp/customer-reviews/RSWDBYSOP6R6L?ASIN=B00IVT3NSI
2020-02-13 0:00:00,5,Good for gifting.,Gift. Dove is always good. Cute container.,Dove is always good.,https://www.amazon.com/gp/customer-reviews/ROOF2SCK06LIV?ASIN=B07661RFG9
2021-05-04 0:00:00,5,Very Fresh,"Gun is very fresh and almost melts in your mouth. I give them out as treats for my school bus kids. (I enjoy them myself, of course.)",I give them out as treats for my school bus kids.,https://www.amazon.com/gp/customer-reviews/R2V8GH2RNWUL07?ASIN=B00300CWEE
2020-09-04 0:00:00,5,Great on all factors,"One yr old grand baby loves his oatmeal.... these packets are great. I purchased this box for my daughter's ease when she brought the grandkids for a visit. If baby is happy......lol All the kids love the oatmeal flavors....older kids use more than one packet at a time of course, but you get the gist....lol again, the home delivery makes this product even better...",One yr old grand baby loves his oatmeal…,https://www.amazon.com/gp/customer-reviews/RK8TL1NCAQM02?ASIN=B01KMHY5XI
2020-10-14 0:00:00,5,Nice scent,"I love the subtle scent and if put on properly it seems to really add softness to the skin. You shouldn't use too much at one time or it will look and feel greasy. I haven't tried it under my makeup yet. I would recommend trying this product,",I haven't tried it under my makeup yet.,https://www.amazon.com/gp/customer-reviews/R2XZM54887CGZA?ASIN=B00J1FNW28
2021-08-22 0:00:00,5,So delicious!,"One day I got a craving for cocoa covered almonds and couldn't find them at the grocery stores I frequent.. I used to see them all the time, but sadly, they were no where to be found.. 🙏🏻🙌🏻 Amazon 👏🏻 great purchase. They're so tasty and filling. What's even better is they're healthy! Eating them litterally brings joy to my life.. Highly Recommend.",Amazon.,https://www.amazon.com/gp/customer-reviews/R2097W0O5B8JHJ?ASIN=B07QWNQSN3
2020-04-27 0:00:00,5,Good beef,Great product! Came a little late but no big deal. The taste is great. Would buy again.,Good beef.,https://www.amazon.com/gp/customer-reviews/R36YOEX447QO43?ASIN=B07GPRVZG1
2020-12-17 0:00:00,5,Premium Original Saltine Crackers,"Never can have to many crackers. Good with soups, added to recipes. Or with with salads. Value for money. Good flavor.",Value for money.,https://www.amazon.com/gp/customer-reviews/R3ARRTC532NAV3?ASIN=B00VHVK8AI
2020-04-13 0:00:00,5,This product is almost as good as the non-instant type. I find it hard to tell the difference.,Pretty darn close to the non-instant,This product is almost as good as the non-instant type.,https://www.amazon.com/gp/customer-reviews/R2S9TM3WGI1PB1?ASIN=B00F88YFLY
2021-05-20 0:00:00,5,Oh my goodness!!,These things are awesome!!,Oh my goodness!,https://www.amazon.com/gp/customer-reviews/R38XQMF5Z5196U?ASIN=B008LXYB3U
2020-09-10 0:00:00,5,Syrup sugar free,Newly diabetic son-in-law gets to eat pancakes and syrup again! Thanks,Newly diabetic son-in-law gets to eat pancakes and syrup again!,https://www.amazon.com/gp/customer-reviews/R1W1G9I0X40JXP?ASIN=B00TJ104YI
2020-03-26 0:00:00,1,Buyer beware!!!!I,Selling at £1.50 each local supermarket. 3x£1.50=£4.50 this order was £13.99. £9.....more!!!! Buyer beware.,Buyer beware.,https://www.amazon.com/Cadbury-Medium-Easter-Egg-Bundle/product-reviews/B01BU608BI?reviewerType=avp_only_reviews&sortBy=recent
2020-08-29 0:00:00,4,Almost Chicken!,This is one of the closest chicken tasting product!!! Its affordable and easy to use!!! As a Vegan this is a Great product to get!!,As a Vegan this is a Great product to get!,https://www.amazon.com/gp/customer-reviews/R15WKV81TM3W6T?ASIN=B00RXAK1PE
2020-09-02 0:00:00,5,canned tuna.,this stuff makes the best tuna salad.,this stuff makes the best tuna salad.,https://www.amazon.com/gp/customer-reviews/R2HHYM342KB354?ASIN=B074SQSY99
2020-05-13 0:00:00,4,Good butter alternative.,"Great flavor, but tastes weird if you use too much.","Great flavor, but tastes weird if you use too much.",https://www.amazon.com/gp/customer-reviews/R34KXPE9XQ50C0?ASIN=B00ZRWHK9A
2019-10-12 0:00:00,2,Tasteless,This candy is rather tasteless with only the slightest coffee flavor. The pieces of candy are quite small. The reviews and description talk about a soft liquid center filled with coffee but I did not find a soft liquid center filled with anything. Overall the description of the product is misleading as were most of the reviews. I cannot recommend this candy.,I cannot recommend this candy.,https://www.amazon.com/gp/customer-reviews/R1ZDAQ2XU81I1W?ASIN=B06X6HV9MT
2019-11-17 0:00:00,5,price and quality,I like the product but I am looking for more flavor. I saw you had Tilda rice too. I will order ir next,price and quality.,https://www.amazon.com/gp/customer-reviews/R39VSHZXTD30T6?ASIN=B00CO0COAI
2021-08-05 0:00:00,5,Quality,You can never go wrong with any Swiss chocolate this dark is well balanced. great tasting,Quality.,https://www.amazon.com/gp/customer-reviews/RUQDGB19SKSVJ?ASIN=B00GDIMCV8
2019-10-06 0:00:00,1,Too little gum and broken candy,"I love Bon Bon Bums but the ratio of gum/candy in these was like 15%/85%. I have thrown away so many of these because after a very long while of sucking the lollipop no gum appears.. On top of that the candy is not well formed and was cracked in most of the ones I opened.. Flavors are just very mediocre: the orange one is flat, plain. The two strawberries taste the same.. I will give these for free if you pay for S&H (I have opened like 7, eaten two and discarded 5) and will buy again the sour ones with better flavor and higher gum content.","the orange one is flat, plain.",https://www.amazon.com/gp/customer-reviews/R3E0HQNW47TMHK?ASIN=B07ZJQN1KL
2020-04-13 0:00:00,5,GOOD FOR SOURNESS IN YOUR Throat,I LIKE IT BECAUSE IT EASE TO SOURNESS IN MY Throat,I LIKE IT BECAUSE IT EASE TO SOURNESS IN MY Throat.,https://www.amazon.com/gp/customer-reviews/RE6UHVX5YPZ0J?ASIN=B00187D4KM
2019-10-28 0:00:00,1,Amazing treat that has a vengence,I don't know how to say this. But the candy bar is amazing! It tastes wonderful. But it comes at a price. I have never experienced a headache from candy before. But this one packs a punch. It had to be the candy bar. I don't know how or why but I was slammed with the worst headache I have ever had from food. Something that is in them will give you a migraine. I slept it off and it lasted another day. I guess the keto diet is going to be very hard. I was not in keto when I had this treat. But I will warn others to not eat it. Not worth the headache.,I don't know how or why but I was slammed with the worst headache I have ever had from food.,https://www.amazon.com/gp/customer-reviews/R1P7GIW17D611P?ASIN=B01K1XT7K4
2021-02-18 0:00:00,5,B E S T S A U C E,"You get a tortilla, mayo and some gator sauce, and it don't matter what you put in it. Gator sauce is the new (old) Sriracha. I don't know how long it lasts for in the fridge or in the pantry because it's Feb and I have already gone through two bottles since Christmas. You have a job? You need to pack a lunch? Doesn't matter. As long as you can put gator sauce on it, lunch break will be perfect. I just found out you can order shirts and visors on their website. They don't even have pictures, You just go for it because you want to rep the sauce that keeps your mouth watering like a water park in a heat wave. It's not that hot, perfect blend of spices and flavour, little chunky going on but not a chutney. Don't be afraid to order 12 bottles because you invite 1 person over at the end of this pandemic and you will be hiding them from your guest because it's that good. onestly. Best sauce I have ever had.",Gator sauce is the new (old) Sriracha.,https://www.amazon.com/gp/customer-reviews/R3B7XECJPYN24K?ASIN=B0049I96M2
2021-05-10 0:00:00,1,Dont expect a return on broken bottles,Great price but jars of jam smashed every it was a mess to clean up all over every thing tryed to up load pictures and tryed to get a refund wont order nothing glass any more pretty sad when you pay for something and you get ripped off package was a plastic bubble bag 4 jars of smuckers Raspberry,Great price but jars of jam smashed every it was a mess to clean up all over every thing tryed to up load pictures and tryed to get a refund wont order nothing glass any more pretty sad when you pay for something and you get ripped off package was a plastic bubble bag 4 jars of smuckers Raspberry.,https://www.amazon.com/gp/customer-reviews/R72CY8KTC13U0?ASIN=B004AE6AY2
2020-07-17 0:00:00,1,The worst product.,Do not waste your money.very messy and does not make very thi,The worst product.,https://www.amazon.com/gp/customer-reviews/R2ZIQW1IJ301YH?ASIN=B007PS0FBY
2020-01-19 0:00:00,5,Great for People Too busy for cereal!,"Let’s face it: eating cereal takes a LOT of time. I have to be at work at 9am every morning. My alarm goes off at 8:42am, giving me 10 minutes to throw on some clothes and grab some breakfast before work.. Before this cereal cup, my life was so bleak. I’d wake up, go to the kitchen, and panic. I’d look at the cereal bowls and then the clock and turn ghost white, I’d sweat. The most I could do was grab a banana and eat it in the car.. Luckily for me I found this product. What I appreciate the most is that for someone who doesn’t have time to make a bowl of cereal in the morning, is that it is easy to clean. Meaning I throw it in the dishwasher and by the time the dishwasher is full enough to run, a week goes by without my cereal cup and I go hungry in the mornings.. Thanks for this great product for busy single guys like me.","Meaning I throw it in the dishwasher and by the time the dishwasher is full enough to run, a week goes by without my cereal cup and I go hungry in the mornings.",https://www.amazon.com/gp/customer-reviews/R34OYCBAQX2WGW?ASIN=B0812C8DLW
2020-01-03 0:00:00,5,A Good Candy At A Good Buy,"I have purchased these before and I am going to purchase them again just as soon as I write this review. Each time I have gotten them, they were always well-wrapped and fresh. As for the blue/vanilla ones, the taste is just a personal preference as they are my favorite! I find myself hoarding them, I like them so much.",A Good Candy At A Good Buy.,https://www.amazon.com/gp/customer-reviews/R281CLGGZFHCBD?ASIN=B01IU3Y42S
2021-07-12 0:00:00,2,I purchased the wrong type of oatmeal,I threw up after the second spoonful. I'm allergic to instant oatmeal and instant grits. You have one that have real oatmeal like cook oatmeal. I can't eat this..,I threw up after the second spoonful.,https://www.amazon.com/gp/customer-reviews/R3D8RRLXZMD9PK?ASIN=B01M3RZBFH
2021-01-16 0:00:00,5,Great homage to the originals!,"These are an excellent homage to the original 3D Doritos. Are the flavors different? Yes, but they’re both good in their own right. Is the texture different? Yes, but the crunch is still satisfying! Don’t let the haters deter you, open your mind for a great experience and get ready to crush these chips.","Yes, but the crunch is still satisfying!",https://www.amazon.com/gp/customer-reviews/R1VKI0INUCMXFO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C218N7P
2020-04-05 0:00:00,1,"old, molded, unusable.",Arrived with black mold outside and inside. Appeared very old. Not useable at all! Spoiled! Need refund!!!,Spoiled!,https://www.amazon.com/gp/customer-reviews/R2CTXL1FN85A4J?ASIN=B00LYT2HCK
2020-03-08 0:00:00,5,Heslty indeed!,Great product!,Heslty indeed!,https://www.amazon.com/gp/customer-reviews/R3TDIOF7WUBEO0?ASIN=B0773T5G7Y
2020-05-26 0:00:00,5,Delicious source of quick energy. Between meal snack or before workout boost.,Delicious source of quick energy. Between meal snack or before workout boost.,Delicious source of quick energy.,https://www.amazon.com/gp/customer-reviews/R32CGWNA8EM5XO?ASIN=B07B9GM3FX
2020-04-07 0:00:00,4,Good price and items delivered in a timely manner,Package received with the top on the bottle of amino acids broken and the liquid had spilled over the other items in the package. The outer side of the package was also wet from the spillage.,Package received with the top on the bottle of amino acids broken and the liquid had spilled over the other items in the package.,https://www.amazon.com/gp/customer-reviews/R1N2NC71PS1R59?ASIN=B07PCP38VP
2020-10-07 0:00:00,5,Super delicious fudge brownie,"So insanely tasty!! Could eat all of them at once! Only had them for 25 minutes in the oven and they turned out perfect and super moist. Def gonna buy again, no doubts!😍 had 7 tbsp I can’t believe it’s not butter and four eggs. It worked great!",Could eat all of them at once!,https://www.amazon.com/gp/customer-reviews/R3IDFQHU5B18OC?ASIN=B07NVXQ2KT
2020-07-18 0:00:00,3,Too small.,No stars. Did not use. Nothing wrong with oven other than that it was to small for what I wanted. Had to return.,Had to return.,https://www.amazon.com/gp/customer-reviews/R2H3C9EYIJBRXP?ASIN=B078SD1JT8
2020-01-27 0:00:00,5,Wow,Best pretzel I ever had. Would buy it and tell all my friends about them.,Best pretzel I ever had.,https://www.amazon.com/gp/customer-reviews/RDADSTQAA73F2?ASIN=B019CUSLZE
2021-08-22 0:00:00,1,what a disappointment,I don't believe there is a bar that taste like good chocolate. This was my last try. If you like chewing gum this is the bar for you. Upon my first chew 2 minutes later I was able to swallow it. One plus..... a good jaw workout. I actually felt like I was burning calories chewing this thing. Kind of like chewing bubble gum but not being able to blow bubbles with it. I wish had my forty dollars back.,Kind of like chewing bubble gum but not being able to blow bubbles with it.,https://www.amazon.com/gp/customer-reviews/R390QAW4Y5CUV6?ASIN=B08DCD7B2W
2020-12-13 0:00:00,5,Treats forus kids,"I'm a chocoholic, of course they are good! I also could have used them for Halloween.",Treats forus kids.,https://www.amazon.com/gp/customer-reviews/R3DULBBHY49L1H?ASIN=B000WL39JQ
2019-11-10 0:00:00,5,"Yummy, fun to try!","They were in perfect condition when they arrived. Very fresh, tasted great. It was fun to try something new without spending a lot.",They were in perfect condition when they arrived.,https://www.amazon.com/gp/customer-reviews/RB4DG6UUUZCIZ?ASIN=B07H8363JC
2020-02-09 0:00:00,5,Good taste,"We like the flavor of this sweetener really well. Most non-sugar sweeteners leave a funny after taste or give us headaches...this does not. It is pricey, but if you are just using it in coffee/tea and not baking with it, it goes pretty far.",Most non-sugar sweeteners leave a funny after taste or give us headaches…,https://www.amazon.com/gp/customer-reviews/R25NFM00C0CXYQ?ASIN=B0046DPKBQ
2020-07-22 0:00:00,5,It's ramen what more can you say!!!,Great for the price!,It's ramen what more can you say!,https://www.amazon.com/gp/customer-reviews/REL3BLQFITWPS?ASIN=B075RX9ZPY
2020-08-29 0:00:00,3,Would not buy again,Okay product; not my favorite flavor. Some of the noodles had spots where they would never cook. Very bizarre.,;Okay product,https://www.amazon.com/gp/customer-reviews/R25U7G0K40N6Z1?ASIN=B07H74FBH7
2021-01-14 0:00:00,5,Good,Good quality. Taste is good.,Good quality.,https://www.amazon.com/gp/customer-reviews/R3QOKCMTPKTQCI?ASIN=B004AH8XIK
2021-04-08 0:00:00,5,Convenient chicken thighs.,"I like that I can take these frozen thighs, put them in different freezer bags with ingredients for full meals and put back in freezer. Easy peasy.","I like that I can take these frozen thighs, put them in different freezer bags with ingredients for full meals and put back in freezer.",https://www.amazon.com/gp/customer-reviews/R2Q2FBRF0SOAJ5?ASIN=B078WTG41G
2020-10-09 0:00:00,5,Fast delivery!,Love Aunt Jemima . What a great price!!,Fast delivery!,https://www.amazon.com/gp/customer-reviews/R1SRKNGAQ0BG60?ASIN=B00TJ104YI
2020-11-02 0:00:00,1,I should have known better. You get what you pay for!,"Real Vanilla has a distinct aroma and taste. This did not! The taste made me gag and left a horrible after taste. I will trust my gut, and pay top dollar for REAL vanilla",This did not!,https://www.amazon.com/gp/customer-reviews/RRLV78U5JZAJL?ASIN=B0895FQCL3
2020-06-21 0:00:00,5,Healthy & Affordable Snack,Like:. -Soft and chewy. -Packs protein. -Healthy alternative to snacking. -Discount on subscription pricing. Dislike:. -Can have a little too much sugary taste from the chocolate chips. -Price is ok relative to other health bars but still somewhat high,-Soft and chewy.,https://www.amazon.com/gp/customer-reviews/R2IMDVE8Z4Z1R9?ASIN=B07TGWSNDP
2020-07-08 0:00:00,1,9 of 12 cans dented,"Not to say that I care much about the looks of a can. Dented cans cause problems inside the can, ruining the can lining exposing fluids to the metal, so it reacts with the metal, eventually letting air in, decreasing shelf life. Someone at Amazon seems to overlook ""dented cans"", as if I were that superficial.. I don't want my purchase to go bad due to someone else's negligence.",9 of 12 cans dented.,https://www.amazon.com/gp/customer-reviews/R1JV7VYC2EDBZ7?ASIN=B0057UCQVO
2020-12-12 0:00:00,5,Great hot sauce!,We bought it when we were on vacation in Belize. We used it on practically everything. We were so happy to be able to order it after we returned home.,We were so happy to be able to order it after we returned home.,https://www.amazon.com/gp/customer-reviews/R128XVZBJLOPFX?ASIN=B08GJKTJ9L
2020-07-03 0:00:00,5,Our go-to,"Our fave, when it’s in stock. I love margaritas but hate over-sweet mixer. This does great",Our go-to.,https://www.amazon.com/gp/customer-reviews/R1ELJLIXIU9E1N?ASIN=B00P9KT066
2019-12-15 0:00:00,4,Pringles,Great deal,Great deal.,https://www.amazon.com/gp/customer-reviews/R2MRRT80SXURFG?ASIN=B08FWND3TL
2021-06-16 0:00:00,5,Keto and pancakes mmmmm,Does not spike blood sugar but you gotta get the sugarless maple syrup to really enjoy.,Does not spike blood sugar but you gotta get the sugarless maple syrup to really enjoy.,https://www.amazon.com/gp/customer-reviews/R1DPTT5EOOY9L0?ASIN=B07QZSFQ59
2020-10-15 0:00:00,5,DELICIOUS,TOTALLY SCRUMPTIOUS SHOULD COME IN BIGGER SIZE INDIVIDUALLY WRAPPED LIKE 50 2 PACK.,DELICIOUS.,https://www.amazon.com/gp/customer-reviews/RTE1FGW92AD2F?ASIN=B01MTWM69P
2020-06-14 0:00:00,5,Great sweetener sub,"Mostly bought this for coffee (Including dalgona coffee which calls for an uncomfortable amount of granulated sugar) and this is a great substitute. You don't need as much of this to achieve the sweet taste and the texture is just like granulated sugar.. I've never done the keto diet but my friends who have have recommended this to me. I read some reviews that mentioned headaches but I haven't experienced those after consuming this. Also, I noticed only after buying this that my local grocer also carries Pyure but charges a few bucks more.",I've never done the keto diet but my friends who have have recommended this to me.,https://www.amazon.com/gp/customer-reviews/ROPCMZH7LL5NI?ASIN=B00NI2CTB0
2020-09-13 0:00:00,5,My boyfriend and I love these,These are delicious! They have great flavor and are a great snacking size. Less calories as well.,They have great flavor and are a great snacking size.,https://www.amazon.com/gp/customer-reviews/R388IX9EJMU3MO?ASIN=B00VG38HFA
2020-10-27 0:00:00,5,Awesome!," );Wonderful candy, and I will order again. The adults love it and the kids can't get enough. Make sure you have plenty on hand because it goes quickly! We got this for Halloween...and the time in between ",;and the time in between,https://www.amazon.com/gp/customer-reviews/R2NSA41522QVBX?ASIN=B07N228CP3
2019-12-07 0:00:00,5,Do not leak,These are the perfect size for us to give customers samples in.,These are the perfect size for us to give customers samples in.,https://www.amazon.com/gp/customer-reviews/R3OKG9PML7QPI5?ASIN=B01N7W9BUX
2020-12-16 0:00:00,1,"Flavorless, Oily Goo","We ordered this hoping it would be like movie theater butter for popcorn at home. It is completely flavorless, so its like putting a thick layer of oily goo all over your popcorn. It leaves an unpleasing film in your mouth and also had a fine grittiness and an unpleasant aftertaste. We had high hopes of recreating the movie theater experience at home with this product, but it was a total let down.","Flavorless, Oily Goo.",https://www.amazon.com/gp/customer-reviews/R301AFB3DR5EOB?ASIN=B075FD8XLP
2020-04-18 0:00:00,5,Ghee What A Great Product,I use it on almost everything I eat. It not even salty if you cook with it. But on toast you can really taste the salt. It still is amazing and the taste is really good. I have subscription for this product now.. Ps the small container might last a little over a week. If you eat toast with it everyday.,Ghee What A Great Product.,https://www.amazon.com/gp/customer-reviews/R1K5JO6BGTEDP5?ASIN=B01DQ6Q3D2
2021-04-17 0:00:00,5,Very tasty,Excellent product.,Very tasty.,https://www.amazon.com/gp/customer-reviews/R1ZLD9VOOUJ3XQ?ASIN=B071H7RZMB
2021-09-25 0:00:00,5,OMG GOOD,These are a great snack. Low in sugar & easy to take on the go.,Low in sugar & easy to take on the go.,https://www.amazon.com/gp/customer-reviews/R1IWGJ6WDFSXCN?ASIN=B0798GNSS2
2020-09-19 0:00:00,5,Wish there were more apple and cherry,"Way to many strawberry, but still my all time favorite candy.",Wish there were more apple and cherry.,https://www.amazon.com/gp/customer-reviews/R1TCLCK79WJEUJ?ASIN=B08FVZDJ4C
2020-03-12 0:00:00,5,Great Value,Tasty!,Great Value.,https://www.amazon.com/gp/customer-reviews/R2IQQOFNNE1OID?ASIN=B00I3O5WHG
2021-01-24 0:00:00,5,Yummy... Pure protein,I love these beans.. My family has enjoyed these all our lives.,My family has enjoyed these all our lives.,https://www.amazon.com/gp/customer-reviews/R1QSFJQ1H7P3L0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B076ZRQZ1Y
2021-01-22 0:00:00,5,Delicious,They are delicious and well worth the money thank you,Delicious.,https://www.amazon.com/gp/customer-reviews/R3JBYTVVOHKP3D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07QWNQSN3
2020-08-09 0:00:00,5,For people who don’t like protein drinks,"I got these for my Dad who’s going through chemo. He was losing weight rapidly. He didn’t want to eat or drink, everything I offered was unappealing to him even his usual favorite foods. I got him the chocolate shake as a last resort - but he actually tried them. He drank the whole thing - and was able to keep it down! I was thrilled when he asked for another shake later that day. The nutrition in these shakes is really good for older or ill people, and I’m grateful I found them. 3 cases later and my Dad still likes to drink them.",3 cases later and my Dad still likes to drink them.,https://www.amazon.com/gp/customer-reviews/RCJ54XC0R9JYP?ASIN=B07W6B8ZLZ
2020-11-11 0:00:00,5,Taste of Christmas!,Bahlsen gingerbread cookies are simply delicious. The fresh spicy gingerbread taste covered in dark chocolate say Christmas.,The fresh spicy gingerbread taste covered in dark chocolate say Christmas.,https://www.amazon.com/gp/customer-reviews/R1PSWWTLHG5GX9?ASIN=B076J13FBV
2020-12-07 0:00:00,3,Good Value,These we ok as a diet food. They got me through when I needed a sweet fix! The price was way better that buying by the single bar at a convenience store.,They got me through when I needed a sweet fix!,https://www.amazon.com/gp/customer-reviews/R3U4DL4DRJ45DP?ASIN=B01126O3OY
2020-05-03 0:00:00,1,Yucky & fishy smells,"I have been a big fan of the Vienna sausage due to their taste and simplicity. All my experiences about Vienna sausages are based on the products in South Korea and Germany.. This is my first purchase of Vienna sausage in the US.. I initially tried one out of 24 cans. When I opened it, yucky and fishy smells came out. I tried to boil them with water and added gingers to remove those odors. However, I failed.. In the second attempt, I boiled them twice with water for 30 minutes, and added even more gingers, then fried with oils. The smell persisted and I ended up throwing away all the rests. I think that the odors mainly come from the unfresh meat... I am definitely to not recommend this product to anyone who is familiar with classical Vienna sausage in the other countries, since the tastes and smells are beyond your expectation in a negative way.",Yucky & fishy smells.,https://www.amazon.com/gp/customer-reviews/R46ELKK0QMWVP?ASIN=B0052T6T4K
2020-01-05 0:00:00,5,Great flavor,Love the flavor but doesnt last long and is on the expensive side.,Great flavor.,https://www.amazon.com/gp/customer-reviews/R1CO5WQC168FK2?ASIN=B073VBJW1W
2020-12-16 0:00:00,5,Love this stuff!,"I love this stuff as a """"breaded"""" sub. Amazing Chicken Parmesan!",Love this stuff!,https://www.amazon.com/gp/customer-reviews/R2Y17DXHSKPNMN?ASIN=B07MLXWXW7
2021-08-14 0:00:00,5,Poor packaging and damaged cans,"My experience is positive if you enjoy the spice in your food. You will not need the tabasco sauce I can swear. ! BUT my disappointment is with the poor packaging of the cans I had two cans with damage, sauce spilled inside. The yellowish is the sauce that spilled into both bags. Here are these photos that show my story.",My experience is positive if you enjoy the spice in your food.,https://www.amazon.com/gp/customer-reviews/R2T5O7GOZZ89SW?ASIN=B017DCOTFY
